,Gender,Discipline,Career Stage,EPAO
1308,m,atmospheric dynamics,professor,Atmosphere
1309,m,climate dynamics,professor,
1310,m,climate dynamics,professor,
1311,m,atmospheric dynamics,professor,Atmosphere
1312,f,"chemical oceanography, biogeochemistry, geochemistry",associate professor,Ocean
1313,m,"paleoclimate, climate dynamics",assistant professor,
1314,f,"geophysics, geology",assistant professor,Earth
1315,m,geology,assistant professor,Earth
1316,f,"hydrology, geochemistry",associate professor,Earth
1317,m,geochemistry,associate professor,Earth
1318,m,"geochemistry, chemical oceanography, paleoceanography",associate professor,Ocean
1319,f,geophysics,associate professor,Earth
1320,m,geophysics,professor,Earth
1321,m,hydrology,professor,
1322,m,geology,professor,Earth
1323,m,"geophysics, ecology",professor,Earth
1324,m,geology,professor,Earth
1325,m,geology,professor,Earth
1326,f,"geology, geochemistry",professor,Earth
1327,m,"geochemistry, geology",professor,Earth
1328,m,"geophysics, geochemistry",professor,Earth
1329,m,"geophysics, geology",professor,Earth
1330,m,"biogeochemistry, chemical oceanography",professor,Ocean
1331,m,"geochemistry, chemical oceanography",professor,Ocean
1332,m,"geophysics, marine geophysics",professor,Earth
1333,m,"biogeochemistry, chemical oceanography, biological oceanography",assistant professor,Ocean
1334,m,"biological oceanography, chemical oceanography",assistant professor,Ocean
1335,m,climate dynamics,assistant professor,
1336,m,physical oceanography,assistant professor,Ocean
1337,f,biological oceanography,associate professor,Ocean
1338,m,physical oceanography,associate professor,Ocean
1339,m,"biological oceanography, ecology",associate professor,Ocean
1340,m,"biogeochemistry, geochemistry, biological oceanography, chemical oceanography",associate professor,Ocean
1341,f,ecology,associate professor,
1342,m,"geophysics, geology",associate professor,Earth
1343,f,"biological oceanography, chemical oceanography, biogeochemistry",associate professor,Ocean
1344,m,"biogeochemistry, chemical oceanography, biological oceanography",professor,Ocean
1345,m,"marine biology, ecology",professor,Ocean
1346,m,physical oceanography,professor,Ocean
1347,m,physical oceanography,professor,Ocean
1348,m,"biogeochemistry, chemical oceanography",professor,Ocean
1349,m,biological oceanography,professor,Ocean
1350,m,physical oceanography,professor,Ocean
1351,f,physical oceanography,professor,Ocean
1352,m,physical oceanography,professor,Ocean
1353,m,physical oceanography,professor,Ocean
1354,m,physical oceanography,professor,Ocean
1355,m,chemical oceanography,professor,Ocean
1356,m,physical oceanography,professor,Ocean
1357,m,"biogeochemistry, ecology, chemiceal oceanography",professor,Ocean
1358,m,"biological oceanography, biogeochemistry, ecology",professor,Ocean
1359,m,climate dynamics,professor,
1360,m,chemical oceanography,professor,Ocean
1361,m,geology,assistant professor,Earth
1362,m,geophysics,assistant professor,Earth
1363,f,geology,assistant professor,Earth
1364,m,geophysics,assistant professor,Earth
1365,m,geology,assistant professor,Earth
1366,f,"geology, hydrology, geochemistry",associate professor,Earth
1367,m,atmospheric chemistry,associate professor,Atmosphere
1368,m,geochemistry,associate professor,Earth
1369,m,geology,associate professor,Earth
1370,f,atmospheric chemistry,associate professor,Atmosphere
1371,f,geology,associate professor,Earth
1372,m,geophysics,associate professor,Earth
1373,m,geochemistry,professor,Earth
1374,m,"geology, geochemistry",professor,Earth
1375,m,geophysics,professor,Earth
1376,m,geology,professor,Earth
1377,m,geophysics,professor,Earth
1378,m,geology,professor,Earth
1379,f,atmospheric dynamics,professor,Atmosphere
1380,m,geology,professor,Earth
1381,m,"geochemistry, geology",professor,Earth
1382,f,geophysics,professor,Earth
1383,f,"geology, paleontology",professor,Earth
1384,m,geology,professor,Earth
1385,m,geology,professor,Earth
1386,m,atmospheric chemistry,professor,Atmosphere
1387,m,geophysics,professor,Earth
1388,m,geophysics,professor,Earth
1389,m,"geology, geophysics",professor,Earth
1390,m,geophysics,professor,Earth
1391,m,geophysics,professor,Earth
1392,f,"hydrology, geomorphology, geology",assistant professor,Earth
1393,m,"geochemistry, paleontology, geology",associate professor,Earth
1394,m,"paleoclimate, geomorphology, geochemistry",associate professor,Earth
1395,f,geology,associate professor,Earth
1396,f,"geology, geochemistry",associate professor,Earth
1397,m,"geomorphology, hydrology",associate professor,Earth
1398,m,paleontology,professor,
1399,m,paleontology,professor,
1400,m,geology,professor,Earth
1401,f,geology,professor,Earth
1402,m,"geology, geochemistry",professor,Earth
1403,m,geochemistry,professor,Earth
1404,m,"geochemistry, geology",professor,Earth
1405,m,geopolitics/impacts,assistant professor,Earth
1407,m,gis/engineering,assistant professor,
1408,f,climate dynamics,assistant professor,
1409,m,atmospheric dynamics,assistant professor,Atmosphere
1410,f,geopolitics/impacts,associate professor,Earth
1411,m,geopolitics/impacts,associate professor,Earth
1412,m,atmospheric dynamics,associate professor,Atmosphere
1413,m,"climate dynamics, glaciology",professor,
1414,m,geopolitics/impacts,professor,Earth
1415,m,biogeochemistry,professor,Earth
1416,m,geopolitics/impacts,professor,Earth
1417,m,geopolitics/impacts,professor,Earth
1418,m,gis/engineering,professor,
1419,m,atmospheric dynamics,professor,Atmosphere
1420,f,geopolitics/impacts,professor,Earth
1421,m,glaciology,professor,
1422,m,geopolitics/impacts,professor,Earth
1423,f,geophysics,assistant professor,Earth
1424,m,"hydrology, geology",assistant professor,Earth
1425,f,geophysics,assistant professor,Earth
1426,m,geology,associate professor,Earth
1427,m,"geology, geochemistry",associate professor,Earth
1428,m,geology,associate professor,Earth
1429,f,"geochemistry, paleontology, geology",associate professor,Earth
1430,f,"paleoclimate, geochemistry, geology",associate professor,Earth
1431,m,"geochemistry, geology",associate professor,Earth
1432,m,geology,professor,Earth
1433,m,hydrology,professor,
1434,m,"geochemistry, geobiology",professor,Earth
1435,m,geology,professor,Earth
1436,m,"geochemistry, geology",professor,Earth
1437,m,"paleontology, geology",professor,Earth
1438,f,"hydrology, geology",professor,Earth
1439,m,geology,professor,Earth
1440,f,"hydrology, geochemistry",professor,Earth
1441,f,"hydrology, geochemistry, geophysics, geology",professor,Earth
1442,m,paleontology,professor,
1443,f,glaciology,professor,
1444,m,"geochemistry, ggeophysics",professor,Earth
1445,m,geophysics,professor,Earth
1446,m,geology,professor,Earth
1447,f,"geochemistry, chemical oceanography",assistant professor,Ocean
1448,m,"biological oceanography, ecology",assistant professor,Ocean
1449,f,atmospheric chemistry,assistant professor,Atmosphere
1450,m,geophysics,assistant professor,Earth
1451,m,"geopolitics/impacts, sustainability",assistant professor,Earth
1452,f,"geochemistry, chemical oceanography",assistant professor,Ocean
1453,f,"chemical oceanography, biogeochemistry, biological oceanography",assistant professor,Ocean
1454,f,marine biology,assistant professor,Ocean
1455,m,biological oceanography,associate professor,Ocean
1457,f,climate dynamics,associate professor,
1458,m,ecology,associate professor,
1459,f,"geopolitics/impacts, resource management",associate professor,Earth
1460,m,"geochemistry, paleoclimate, paleoceanography",associate professor,Ocean
1461,m,physical oceanography,associate professor,Ocean
1462,m,geophysics,professor,Earth
1463,m,atmospheric chemistry,professor,Atmosphere
1464,m,"biological oceanography, ecology",professor,Ocean
1465,f,ecology,professor,
1466,m,"ecology, marine biology, chemical oceanography",professor,Ocean
1467,f,physical oceanography,professor,Ocean
1468,m,"geophysics, hydrology, geology",professor,Earth
1469,m,"gis/engineering, biological oceanography",professor,Ocean
1470,m,"biological oceanography, ecology",professor,Ocean
1471,m,geopolitics/impacts,professor,Earth
1472,m,"physical oceanography, ocean acoustics",professor,Ocean
1473,f,climate dynamics,professor,
1474,m,"geobiology, biological oceanography",professor,Ocean
1475,m,physical oceanography,professor,Ocean
1476,m,"geology, paleoclimate",professor,Earth
1477,f,marine biology,professor,Ocean
1478,m,physical oceanography,professor,Ocean
1479,m,marine biology,professor,Ocean
1480,m,"biological oceanography, biogeochemistry, chemical oceanography",professor,Ocean
1481,m,physical oceanography,professor,Ocean
1482,m,atmospheric chemistry,professor,Atmosphere
1483,m,physical oceanography,professor,Ocean
1484,m,physical oceanography,professor,Ocean
1485,m,physical oceanography,professor,Ocean
1486,m,climate dynamics,professor,
1487,m,"biological oceanography, ecology",professor,Ocean
1488,m,"climate dynamics, resource management",professor,
1489,f,geophysics,professor,Earth
1490,m,atmospheric dynamics,professor,Atmosphere
1491,m,atmospheric dynamics,professor,Atmosphere
1492,m,physical oceanography,professor,Ocean
1493,f,"ecology, marine biology",professor,Ocean
