,Gender,Discipline,Career Stage,EPAO
1759,f,"biogeochemistry, geochemistry, chemical oceanography",professor,Ocean
1760,m,"biogeochemistry, geobiology, geochemistry",professor,Earth
1761,f,ecology,professor,
1762,m,physical oceanography,professor,Ocean
1763,m,"geophhysics, education",professor,Earth
1764,m,"ecology, geobioogy, biological oceanography",professor,Ocean
1765,m,biological oceanography,professor,Ocean
1766,f,biological oceanography,professor,Ocean
1767,m,"hydrology, geomorphology, ocean acoustics",professor,Ocean
1768,m,physical oceanography,professor,Ocean
1769,m,"geology, marine geology",professor,Earth
1770,f,"hydrology, geology",professor,Earth
1771,m,physical oceanography,professor,Ocean
1772,m,"geochemistry, geology",professor,Earth
1773,m,atmospheric chemistry,assistant professor,Atmosphere
1774,f,"geochemistry, geology, geomorphology",assistant professor,Earth
1775,m,gis/engineering,assistant professor,
1776,f,paleobiology,assistant professor,
1777,f,hydrology,assistant professor,
1778,m,gis/engineering,assistant professor,
1779,m,"resource management, sustainability",associate professor,
1780,m,geopolitics/impacts,associate professor,Earth
1781,m,geology,associate professor,Earth
1782,f,"ecology, geopolitics/impacts, gis/engineering",associate professor,Earth
1783,m,"geomorphology, hydrology, geology, glaciology",associate professor,Earth
1784,m,"paleobiology, geochemistry",associate professor,Earth
1785,f,geopolitics/impacts,associate professor,Earth
1786,m,geophysics,associate professor,Earth
1787,m,geopolitics/impacts,associate professor,Earth
1788,m,"geopolitics/impacts, resource management",associate professor,Earth
1789,m,gis/engineering,associate professor,
1790,m,"sustainability, paleoclimate",associate professor,
1791,m,geology,associate professor,Earth
1792,f,sustainability,professor,
1793,f,climate dynamics,professor,
1794,m,geophysics,professor,Earth
1795,m,ecology,professor,
1796,f,gis/engineering,professor,
1797,m,geophysics,professor,Earth
1798,f,geophysics,professor,Earth
1799,m,geophysics,professor,Earth
1800,m,resource management,professor,
1801,m,"geology, paleoclimate",professor,Earth
1802,m,geochemistry,professor,Earth
1803,m,"gis/engineering, ecology",professor,
1804,m,"hydrology, ecology",professor,
1805,m,"geochemistry, geology, education",professor,Earth
1806,m,biogeochemistry,professor,Earth
1807,m,education,professor,
1808,m,geomorphology,professor,Earth
1809,f,atmospheric chemistry,associate professor,Atmosphere
1810,m,atmospheric chemistry,associate professor,Atmosphere
1811,m,climate dynamics,associate professor,
1812,m,climate dynamics,associate professor,
1813,m,atmospheric dynamics,professor,Atmosphere
1814,m,atmospheric dynamics,professor,Atmosphere
1815,m,atmospheric dynamics,professor,Atmosphere
1816,m,atmospheric chemistry,professor,Atmosphere
1817,m,atmospheric dynamics,professor,Atmosphere
1818,f,atmospheric dynamics,professor,Atmosphere
1819,m,atmospheric dynamics,professor,Atmosphere
1820,m,atmospheric dynamics,professor,Atmosphere
1821,f,"geochemistry, geology",assistant professor,Earth
1822,f,"paleoclimate, biogeochemistry, geobiology",assistant professor,Earth
1823,f,"geology, paleoclimate",associate professor,Earth
1824,m,"geochemistry, sustainability",associate professor,Earth
1825,m,ecology,associate professor,
1826,m,geophysics,associate professor,Earth
1827,m,"geophysics, geology",associate professor,Earth
1828,m,geology,associate professor,Earth
1829,m,"geophysics, geomorphology",associate professor,Earth
1830,m,geophysics,associate professor,Earth
1831,m,"paleoclimate, geochemistry, biogeochemistry",professor,Earth
1832,m,"hydrology, biogeochemistry, geochemistry",professor,Earth
1833,m,"geochemistry, ecology",professor,Earth
1834,f,geology,professor,Earth
1835,m,"hydrology, land surface processes",professor,
1836,f,geology,professor,Earth
1837,m,hydrology,professor,
1838,m,geophysics,professor,Earth
1839,m,"geochemistry, hydrology",professor,Earth
1840,m,geophysics,professor,Earth
1841,f,geophysics,professor,Earth
1842,f,"climate dynamics, biogeochemistry, ecology, geochemistry",associate professor,Earth
1843,f,atmospheric dynamics,assistant professor,Atmosphere
1844,m,"atmospheric dynamics, climate dynamics",assistant professor,Atmosphere
1845,m,atmospheric chemistry,assistant professor,Atmosphere
1846,m,atmospheric dynamics,associate professor,Atmosphere
1847,f,atmospheric chemistry,professor,Atmosphere
1848,m,"climate dynamics, atmospheric dynamics, paleoclimate",professor,Atmosphere
1849,f,climate dynamics,professor,
1850,m,atmospheric dynamics,professor,Atmosphere
1851,f,atmospheric dynamics,professor,Atmosphere
1852,m,atmospheric dynamics,professor,Atmosphere
1853,m,"atmospheric dynamics, atmospheric chemistry",professor,Atmosphere
1854,m,atmospheric dynamics,professor,Atmosphere
1855,m,atmospheric dynamics,professor,Atmosphere
1856,f,atmospheric chemistry,professor,Atmosphere
1857,m,atmospheric chemistry,professor,Atmosphere
1858,m,atmospheric dynamics,professor,Atmosphere
1859,m,atmospheric chemistry,professor,Atmosphere
1860,m,atmospheric dynamics,professor,Atmosphere
1861,m,planetary science,professor,Planet
1862,m,geology,professor,Earth
1863,m,geobiology,professor,Earth
1864,m,"biogeochemistry, geomorphology, geobiology, planetary science",professor,Planet
1865,m,geomorphology,professor,Earth
1866,m,geochemistry,professor,Earth
1867,m,geology,professor,Earth
1868,m,"atmospheric dynamics, paleoclimate",professor,Atmosphere
1869,m,"glaciology, geochemistry",professor,Earth
1870,m,"paleontology, geobiology",professor,Earth
1871,m,glaciology,assistant professor,
1872,f,"geology, geophysics",assistant professor,Earth
1873,f,"geomorphology, geology",assistant professor,Earth
1874,m,"geology, geochemistry",assistant professor,Earth
1875,f,"geology, geophysics",associate professor,Earth
1876,m,"geobiology, geochemistry, biogeochemistry",associate professor,Earth
1877,m,geophysics,associate professor,Earth
1878,m,"geology, geomorphology",associate professor,Earth
1879,m,geology,professor,Earth
1880,m,geophysics,professor,Earth
1881,m,planetary science,professor,Planet
1882,f,"geology, geochemistry",professor,Earth
1883,m,geophysics,professor,Earth
1884,m,geochemistry,professor,Earth
1885,m,geophysics,professor,Earth
1886,m,glaciology,professor,
1887,m,physical oceanography,assistant professor,Ocean
1888,f,chemical oceanography,assistant professor,Ocean
1889,m,chemical oceanography,assistant professor,Ocean
1890,f,physical oceanography,assistant professor,Ocean
1891,m,physical oceanography,assistant professor,Ocean
1892,f,biological oceanography,assistant professor,Ocean
1893,m,chemical oceanography,associate professor,Ocean
1894,f,physical oceanography,associate professor,Ocean
1895,f,"biological oceanography, ecology",associate professor,Ocean
1896,m,biological oceanography,associate professor,Ocean
1897,m,geophysics,associate professor,Earth
1898,f,biological oceanography,professor,Ocean
1899,m,biological oceanography,professor,Ocean
1900,m,physical oceanography,professor,Ocean
1901,f,biological oceanography,professor,Ocean
1902,m,chemical oceanography,professor,Ocean
1903,m,marine geology,professor,Earth
1904,m,chemical oceanography,professor,Ocean
1905,f,"geophysics, marine geology",professor,Earth
1906,f,biological oceanography,professor,Ocean
1907,m,chemical oceanography,professor,Ocean
1908,m,physical oceanography,professor,Ocean
1909,m,geophysics,professor,Earth
1910,f,"physical oceanography, geology, marine geology",professor,Ocean
1911,m,physical oceanography,professor,Ocean
1912,f,biological oceanography,professor,Ocean
1913,m,"chemical oceanography, geochemistry, biogeochemistry",professor,Ocean
1914,f,physical oceanography,professor,Ocean
1915,m,geophysics,professor,Earth
1916,f,"biogeochemistry, geochemistry",assistant professor,Earth
1917,m,atmospheric dynamics,assistant professor,Atmosphere
1918,m,atmospheric dynamics,assistant professor,Atmosphere
1919,m,atmospheric dynamics,assistant professor,Atmosphere
1920,m,atmospheric chemistry,associate professor,Atmosphere
1921,m,atmospheric dynamics,professor,Atmosphere
1922,m,atmospheric chemistry,professor,Atmosphere
1923,m,"geophysics, hydrology",assistant professor,Earth
1924,f,geology,assistant professor,Earth
1925,m,"geophysics, geology",associate professor,Earth
1926,m,geophysics,associate professor,Earth
1927,f,paleobiology,associate professor,
1928,m,geophysics,associate professor,Earth
1929,m,geology,associate professor,Earth
1930,m,geology,associate professor,Earth
1931,m,"geophysics, hydrology",associate professor,Earth
1932,m,"paleobiology, geobiology",professor,Earth
1933,m,"glaciology, land surface processes",professor,
1934,f,geology,professor,Earth
1935,m,geophysics,professor,Earth
1936,m,geophysics,professor,Earth
1937,f,geophysics,professor,Earth
1938,m,"ecology, paleobiology",professor,
1939,m,education,professor,
1940,m,geochemistry,professor,Earth
1941,f,"paleoclimate, hydrology, climate dynamics",professor,
1942,m,"paleoclimate, paleobiology",professor,
1943,m,geology,professor,Earth
1944,f,"geology, hydrology",professor,Earth
1945,m,"geobiology, paleobiology",assistant professor,Earth
1946,m,"geophysics, planetary science",assistant professor,Planet
1947,f,geophysics,professor,Earth
1948,f,"geobiology, paleobiology",professor,Earth
1949,f,"geochemistry, geology",professor,Earth
1950,m,geology,professor,Earth
1951,f,"geochemistry, geobiology",professor,Earth
1952,f,"geology, geochemistry",professor,Earth
1953,m,geobiology,professor,Earth
1954,m,"geochemistry, planetary science",professor,Planet
1955,m,geology,professor,Earth
1956,m,geology,professor,Earth
1957,m,geophysics,professor,Earth
1958,f,"planetary science, geophysics",professor,Planet
1959,f,"geology, geobiology, geochemistry, planetary science",professor,Planet
1960,m,geobiology,professor,Earth
1961,m,"geochemistry, planetary science",professor,Planet
1962,m,atmospheric chemistry,professor,Atmosphere
1963,m,atmospheric chemistry,professor,Atmosphere
1964,f,atmospheric dynamics,assistant professor,Atmosphere
1965,m,atmospheric dynamics,assistant professor,Atmosphere
1966,m,"hydrology, biogeochemistry, ecology (soil science)",assistant professor,Earth
1967,f,"biogeochemistry, ecology, sustainability",assistant professor,Earth
1968,f,"biogeochemistry, ecology (soil science)",assistant professor,Earth
1969,m,climate dynamics,associate professor,
1970,m,climate dynamics,associate professor,
1971,f,hydrology,associate professor,
1972,f,hydrology,associate professor,
1973,m,hydrology,associate professor,
1974,m,"biogeochemistry, geochemistry, ecology (soil science)",associate professor,Earth
1975,m,"biogeochemistry, geobiology, ecology",associate professor,Earth
1976,f,atmospheric dynamics,professor,Atmosphere
1977,m,atmospheric chemistry,professor,Atmosphere
1978,m,atmospheric dynamics,professor,Atmosphere
1979,m,atmospheric dynamics,professor,Atmosphere
1980,m,atmospheric dynamics,professor,Atmosphere
1981,m,hydrology,professor,
1982,m,hydrology,professor,
1983,m,hydrology,professor,
1984,m,hydrology,professor,
1985,m,hydrology,professor,
1986,m,"biogeochemistry, ecology (soil science)",professor,Earth
1987,m,biogeochemistry,professor,Earth
1988,f,"biogeochemistry, ecology, hydrology, geobiology",professor,Earth
1989,m,"biogeochemistry, chemical oceanography, biological oceanography",assistant professor,Ocean
1990,m,geobiology,assistant professor,Earth
1991,m,atmospheric chemistry,assistant professor,Atmosphere
1992,m,physical oceanography,assistant professor,Ocean
1993,m,"atmospheric chemistry, atmospheric dynamics",associate professor,Atmosphere
1994,m,"atmospheric dynamics, planetary science",associate professor,Planet
1995,f,biogeochemistry,associate professor,Earth
1996,m,planetary science,professor,Planet
1997,m,atmospheric dynamics,professor,Atmosphere
1998,m,atmospheric dynamics,professor,Atmosphere
1999,f,"climate dynamics, biogeochemistry",professor,Earth
2000,m,climate dynamics,professor,
2001,m,atmospheric chemistry,professor,Atmosphere
2002,m,atmospheric dynamics,professor,Atmosphere
2003,m,atmospheric dynamics,professor,Atmosphere
2004,m,physical oceanography,professor,Ocean
2005,m,climate dynamics,professor,
2006,f,atmospheric chemistry,professor,Atmosphere
2007,m,atmospheric chemistry,professor,Atmosphere
2008,f,"biogeochemistry, geobiology, biological oceanography",professor,Ocean
2009,f,"geology, planetary science",assistant professor,Planet
2010,f,"geochemistry, geology, planetary science",assistant professor,Planet
2011,f,geophysics,associate professor,Earth
2012,m,geophysics,associate professor,Earth
2013,m,planetary science,associate professor,Planet
2014,f,planetary science,associate professor,Planet
2015,f,"geochemistry, geobiology",associate professor,Earth
2016,f,"geology, geochemistry, geobiology",associate professor,Earth
2017,m,planetary science,professor,Planet
2018,m,"planetary science, geophysics",professor,Planet
2019,m,"geochemistry, geology",professor,Earth
2020,m,geobiology,professor,Earth
2021,m,planetary science,professor,Planet
2022,f,"geochemistry, planetary science, geophysics",professor,Planet
2023,f,"geophysics, planetary science",professor,Planet
2024,m,"geology, geochemistry",professor,Earth
2025,m,"geophysics, planetary science",professor,Planet
2026,m,"geochemistry, planetary science",professor,Planet
2027,m,"planetary science, geophysics",professor,Planet
2028,m,planetary science,professor,Planet
2029,m,geology,professor,Earth
2030,m,planetary science,professor,Planet
2031,m,"geochemistry, geobiology",professor,Earth
2032,m,geobiology,professor,Earth
2033,m,geology,professor,Earth
2034,m,"planetary science, geophysics",professor,Planet
2035,f,"geobiology, geochemistry",professor,Earth
2036,m,planetary science,professor,Planet
2037,m,geology,professor,Earth
2038,m,"geochemistry, planetary science",professor,Planet
2039,m,geophysics,assistant professor,Earth
2040,f,"geomorphology, geology",assistant professor,Earth
2041,f,"geochemistry, geobiology",assistant professor,Earth
2042,m,geophysics,associate professor,Earth
2043,m,"paleoclimate, paleoceanography",associate professor,Ocean
2044,m,geobiology,professor,Earth
2045,m,"geochemistry, hydrology",professor,Earth
2046,m,geology,professor,Earth
2047,m,geology,professor,Earth
2048,m,geology,professor,Earth
2049,m,"geochemistry, geology",professor,Earth
2050,m,geophysics,professor,Earth
2051,m,"geology, land surface processes",professor,Earth
2052,m,climate dynamics,professor,
2053,f,"paleoclimate, paleoceanography",professor,Ocean
2054,m,geology,professor,Earth
2055,f,"paleobiology, geobiology",professor,Earth
2056,f,"geochemistry, geology",professor,Earth
2057,m,geology,professor,Earth
2058,m,geophysics,professor,Earth
2059,m,"paleobiology, geobiology",professor,Earth
2060,m,"geochemistry, geobiology, chemical oceanography, biological oceanography",professor,Ocean
2061,m,paleontology,professor,
2062,f,geopolitics/impacts,assistant professor,Earth
2063,f,glaciology,assistant professor,
2064,m,"biogeochemistry, chemical oceanography, biological oceanography",assistant professor,Ocean
2065,m,climate dynamics,assistant professor,
2066,f,"ecology, gis/engineering",assistant professor,
2067,m,"geomorphology, geology",assistant professor,Earth
2068,m,"biogeochemistry, physical oceanography",assistant professor,Ocean
2069,f,ecology,assistant professor,
2070,f,geopolitics/impacts,associate professor,Earth
2071,m,"ecology, sustainability",associate professor,
2072,f,climate dynamics,professor,
2073,m,"hydrology, ecology, geopolitics/impacts",professor,Earth
2074,m,"gis/engineering, geopolitics/impacts",professor,Earth
2075,m,"gis/engineering, sustainability",professor,
2076,m,gis/engineering,professor,
2077,m,atmospheric dynamics,professor,Atmosphere
2078,f,"biogeochemistry, ecology",professor,Earth
2079,m,gis/engineering,professor,
2080,m,"hydrology, resource management",professor,
2081,m,geopolitics/impacts,professor,Earth
2082,m,"gis/engineering, geopolitics/impacts",professor,Earth
2083,m,sustainability,professor,
2084,m,"ecology, geology",professor,Earth
2085,m,"biogeochemistry, chemical oceanography, biological oceanography",professor,Ocean
2086,m,"gis/engineering, geopolitics/impacts",professor,Earth
2087,m,physical oceanography,professor,Ocean
2088,m,geology,assistant professor,Earth
2089,f,climate dynamics,assistant professor,
2090,m,geology,assistant professor,Earth
2091,m,"biogeochemistry, geochemistry, geology",assistant professor,Earth
2092,f,planetary science,assistant professor,Planet
2093,m,"atmospheric dynamics, planetary science",assistant professor,Planet
2094,f,hydrology,assistant professor,
2095,m,geology,associate professor,Earth
2096,f,geophysics,professor,Earth
2097,m,atmospheric dynamics,professor,Atmosphere
2098,m,"geology, paleontology",professor,Earth
2099,m,geomorphology,professor,Earth
2100,m,"hydrology, geophysics, geology",professor,Earth
2101,m,"physical oceanography, geology",professor,Ocean
2102,f,geophysics,professor,Earth
2103,m,"biogeochemistry, paleontology",professor,Earth
2104,m,geophysics,professor,Earth
2105,m,"planetary science, geophysics",professor,Planet
2106,f,geophysics,professor,Earth
2107,m,"glaciology, geology, geophysics, gemorphology",professor,Earth
2108,m,"geochemistry, geology",professor,Earth
2109,m,"paleoceanography, paleoclimate, geology, geochemistry",professor,Ocean
2110,m,"biogeochemistry, biological oceanography",associate professor,Ocean
2111,f,geochemistry,assistant professor,Earth
2112,m,"biogeochemistry, ecology, biological oceanography",assistant professor,Ocean
2113,m,geopolitics/impacts (epidemiology),assistant professor,Earth
2114,m,"geophysics, geomorphology, hydrology",assistant professor,Earth
2115,m,biological oceanography,assistant professor,Ocean
2116,f,"geochemistry, geology",assistant professor,Earth
2117,f,"biological oceanography, ecology",assistant professor,Ocean
2118,f,"ecology, paleoclimate, paleoceanography",assistant professor,Ocean
2119,f,"biogeochemistry, ecology, biological oceanography",assistant professor,Ocean
2120,f,"biogeochemistry, geochemistry, biological oceanography, chemical oceanography",assistant professor,Ocean
2121,m,geophysics,assistant professor,Earth
2122,f,physical oceanography,assistant professor,Ocean
2123,f,"hydrology, land surface processes",assistant professor,
2124,m,physical oceanography,assistant professor,Ocean
2125,m,atmospheric dynamics,assistant professor,Atmosphere
2126,f,marine biology,assistant professor,Ocean
2127,m,gis/engineering,assistant professor,
2128,m,geology,assistant professor,Earth
2129,f,geochemistry,assistant professor,Earth
2130,f,physical oceanography,assistant professor,Ocean
2131,f,climate dynamics,assistant professor,
2132,f,geopolitics/impacts,assistant professor,Earth
2133,f,biogeochemistry,assistant professor,Earth
2134,f,marine biology,assistant professor,Ocean
2135,m,"biological oceanography, ecology",associate professor,Ocean
2136,m,"biogeochemistry, geochemistry, chemical oceanography",associate professor,Ocean
2137,m,"physical oceanography, climate dynamics",associate professor,Ocean
2138,m,"atmospheric chemistry, physical oceanography",associate professor,Ocean
2139,m,gis/engineering,associate professor,
2140,m,ecology,associate professor,
2141,m,"geology, geophyscs",associate professor,Earth
2142,m,marine biology,associate professor,Ocean
2143,m,physical oceanography,professor,Ocean
2144,m,geophysics,professor,Earth
2145,m,physical oceanography,professor,Ocean
2146,m,"biogeochemistry, biological oceanography",professor,Ocean
2147,f,"biogeochemistry, biological oceanography, chemical oceanography",professor,Ocean
2148,m,physical oceanography,professor,Ocean
2149,m,"biogeochemistry, ecology, biological oceanography, marine biology",professor,Ocean
2150,f,"biogeochemistry, biological oceanography, chemical oceanography",professor,Ocean
2151,m,"biogeochemistry, marine biology",professor,Ocean
2152,m,"hydrology, geology, geophysics",professor,Earth
2153,m,ocean acoustics,professor,Ocean
2154,m,biological oceanography,professor,Ocean
2155,m,"geophysics, geochemistry",professor,Earth
2156,f,physical oceanography,professor,Ocean
2157,m,"biogeochemistry, geochemistry, paleoclimate, paleoceanography",professor,Ocean
2158,f,geophysics,professor,Earth
2159,m,geophysics,professor,Earth
2160,m,geochemistry,professor,Earth
2161,m,"chemical oceanography, biogeochemistry",professor,Ocean
2162,m,geology,professor,Earth
2163,m,physical oceanography,professor,Ocean
2164,m,chemical oceanography,professor,Ocean
2165,m,geophysics,professor,Earth
2166,m,"biological oceanography, physical oceanography",professor,Ocean
2167,f,glaciology,professor,
2168,f,"biological oceanography, geobiology",professor,Ocean
2169,m,geology,professor,Earth
2170,m,chemical oceanography,professor,Ocean
2171,m,physical oceanography,professor,Ocean
2172,m,"biological oceanography, ecology",professor,Ocean
2173,f,physical oceanography,professor,Ocean
2174,f,"chemical oceanography, atmospheric chemistry",professor,Ocean
2175,m,marine biology,professor,Ocean
2176,m,"ecology, biological oceanography",professor,Ocean
2177,m,"ecology, biological oceanography",professor,Ocean
2178,m,physical oceanography,professor,Ocean
2179,m,"marine biology, ecology",professor,Ocean
2180,m,ocean acoustics,professor,Ocean
2181,m,biological oceanography,professor,Ocean
2182,m,biological oceanography,professor,Ocean
2183,f,"biogeochemistry, hydrology, geology, geochemistry",professor,Earth
2184,m,"atmospheric chemistry, geochemistry",professor,Atmosphere
2185,m,"ocean acoustics, physical oceanography",professor,Ocean
2186,m,"biological oceanography, ecology",professor,Ocean
2187,m,ecology,professor,
2188,f,"paleoclimate, paleoceanography, paleoecology",professor,Ocean
2189,f,"marine biology, ecology",professor,Ocean
2190,m,physical oceanography,professor,Ocean
2191,m,geology,professor,Earth
2192,f,physical oceanography,professor,Ocean
2193,m,chemical oceanography,professor,Ocean
2194,m,geophysics,professor,Earth
2195,m,physical oceanography,professor,Ocean
2196,m,geophysics,professor,Earth
2197,m,"chemical oceanography, ecology, biological oceanography",professor,Ocean
2198,m,atmospheric dynamics,professor,Atmosphere
2199,m,"chemical oceanography, ecology, biological oceanography",professor,Ocean
2200,m,"biological oceanography, ecology",professor,Ocean
2201,m,gis/engineering,professor,
2202,m,biological oceanography,professor,Ocean
2203,f,"atmospheric chemistry, chemical oceanography, biogeochemistry",professor,Ocean
2204,m,"atmospheric chemistry, atmospheric dynamics",professor,Atmosphere
2205,m,physical oceanography,professor,Ocean
2206,m,"biological oceanography, marine biology",professor,Ocean
2207,m,physical oceanography,professor,Ocean
2208,f,atmospheric chemistry,professor,Atmosphere
2209,m,"ecology, marine biology",professor,Ocean
2210,m,geophysics,professor,Earth
2211,m,geology,professor,Earth
2212,m,physical oceanography,professor,Ocean
2213,m,"biogeochemistry, paleoclimate",professor,Earth
2214,f,ecology,professor,
2215,m,gis/engineering,professor,
2216,f,physical oceanography,professor,Ocean
2217,m,"ecology, biogeochemistry",professor,Earth
2218,f,physical oceanography,professor,Ocean
2219,f,geology,professor,Earth
2220,m,geomorphology,professor,Earth
2221,m,climate dynamics,professor,
2222,m,physical oceanography,professor,Ocean
2223,f,atmospheric dynamics,assistant professor,Atmosphere
2224,m,climate dynamics,assistant professor,
2225,f,"hydrology, climate dynamics",associate professor,
2226,m,climate dynamics,associate professor,
2227,m,atmospheric chemistry,professor,Atmosphere
2228,m,"climate dynamics, biogeochemistry, hydrology, geochemistry",professor,Earth
2229,f,atmospheric dynamics,professor,Atmosphere
2230,m,atmospheric dynamics,professor,Atmosphere
2231,m,atmospheric dynamics,professor,Atmosphere
2232,f,atmospheric chemistry,professor,Atmosphere
2233,m,atmospheric dynamics,professor,Atmosphere
2234,f,atmospheric dynamics,professor,Atmosphere
2235,m,"atmospheric chemistry, atmospheric dynamics",professor,Atmosphere
2236,m,geopolitics/impacts,assistant professor,Earth
2237,m,geopolitics/impacts,assistant professor,Earth
2238,m,"geomorphology, geobiology, ecology",assistant professor,Earth
2239,f,"gis/engineering, hydrology, biogeochemistry",assistant professor,Earth
2240,m,ecology,assistant professor,
2241,m,geopolitics/impacts,associate professor,Earth
2242,f,gis/engineering,professor,
2243,f,"gis/engineering, geopolitics/impacts",professor,Earth
2244,m,geomorphology,professor,Earth
2245,m,"hydrology, geopolitics/impacts",professor,Earth
2246,m,gis/engineering,professor,
2247,m,geopolitics/impacts,professor,Earth
2248,f,geochemistry,assistant professor,Earth
2249,m,"geology, geochemistry",assistant professor,Earth
2250,m,geochemistry,associate professor,Earth
2251,f,geomorphology,associate professor,Earth
2252,f,"geochemistry, paleoclimate, climate dynamics",associate professor,Earth
2253,f,geophysics,associate professor,Earth
2254,m,geophysics,associate professor,Earth
2255,f,"biogeochemistry, geology, geobiology, ecology, geochemistry",associate professor,Earth
2256,m,"geophysics, geology",professor,Earth
2257,m,"geobiology, geology",professor,Earth
2258,m,"paleoclimate, ecology, geology",professor,Earth
2259,m,"geochemistry, geology, hydrology",professor,Earth
2260,m,"geology, geochemistry",professor,Earth
2261,m,hydrology,professor,
2262,m,geophysics,professor,Earth
2263,m,climate dynamics,professor,
2264,f,physical oceanography,associate professor,Ocean
2265,m,atmospheric chemistry,assistant professor,Atmosphere
2266,m,atmospheric dynamics,assistant professor,Atmosphere
2267,m,physical oceanography,assistant professor,Ocean
2268,f,physical oceanography,associate professor,Ocean
2269,m,physical oceanography,professor,Ocean
2270,m,"atmospheric chemistry, biogeochemistry",professor,Atmosphere
2271,f,atmospheric dynamics,professor,Atmosphere
2272,m,atmospheric dynamics,professor,Atmosphere
2273,m,climate dynamics,professor,
2274,m,"climate dynamics, sustainability",professor,
2275,m,climate dynamics,professor,
2276,f,"climate dynamics, hydrology",professor,
2277,m,atmospheric chemistry,professor,Atmosphere
2278,m,climate dynamics,professor,
2279,m,atmospheric dynamics,professor,Atmosphere
2280,m,geophysics,assistant professor,Earth
2281,f,geology,assistant professor,Earth
2282,m,"geochemistry, planetary science",associate professor,Planet
2283,m,geophysics,associate professor,Earth
2284,f,"geology, hydrology",associate professor,Earth
2285,m,"geophysics, planetary science, geology",associate professor,Planet
2286,m,geology,professor,Earth
2287,m,paleoclimate,professor,
2288,m,"geochemistry, planetary science",professor,Planet
2289,m,"chemical oceanography, paleoceanography",professor,Ocean
2290,m,"geopolitics/impacts, ecology",professor,Earth
2291,m,planetary science,professor,Planet
2292,m,"geology, geochemistry",professor,Earth
2293,m,"planetary science, geophysics",professor,Planet
2294,f,geology,professor,Earth
2295,m,geochemistry,professor,Earth
2296,f,"geomorphology, geology",professor,Earth
2297,m,geopolitics/impacts,assistant professor,Earth
2298,f,geopolitics/impacts,assistant professor,Earth
2299,m,"gis/engineering, sustainability",associate professor,
2300,m,geopolitics/impacts,associate professor,Earth
2301,f,geopolitics/impacts,associate professor,Earth
2302,m,geopolitics/impacts,associate professor,Earth
2303,f,geopolitics/impacts,associate professor,Earth
2304,m,ecology,associate professor,
2305,f,geopolitics/impacts,associate professor,Earth
2306,m,"hydrology, biogeochemistry",associate professor,Earth
2307,f,geopolitics/impacts,associate professor,Earth
2308,f,"climate dynamics, paleoclimate",associate professor,
2309,m,"gis/engineering, geopolitics/impacts",professor,Earth
2310,f,geopolitics/impacts,professor,Earth
2311,m,geopolitics/impacts,professor,Earth
2312,m,climate dynamics,professor,
2313,f,geopolitics/impacts,professor,Earth
2314,m,geopolitics/impacts,professor,Earth
2315,m,ecology,professor,
2316,f,geopolitics/impacts,professor,Earth
2317,m,geopolitics/impacts,professor,Earth
2318,f,geochemistry,assistant professor,Earth
2319,f,hydrology,assistant professor,
2320,f,geomorphology,associate professor,Earth
2321,m,geology,associate professor,Earth
2322,m,geochemistry,professor,Earth
2323,m,"geochemistry, geology",professor,Earth
2324,m,geophysics,professor,Earth
2325,m,hydrology,professor,
2326,f,"paleoclimate, geochemistry",professor,Earth
2327,m,"biogeochemistry, geochemistry",professor,Earth
2329,m,geophysics,assistant professor,Earth
2330,f,geochemistry,assistant professor,Earth
2331,m,"biogeochemistry, geochemistry, geobiology",assistant professor,Earth
2332,f,biogeochemistry,assistant professor,Earth
2333,m,climate dynamics,associate professor,
2334,f,"paleoclimate, geochemistry, biogeochemistry",associate professor,Earth
2335,m,"geochemistry, geobiology, geology",associate professor,Earth
2336,m,"geobiology, geochemistry",professor,Earth
2337,m,geophysics,professor,Earth
2338,m,biogeochemistry,professor,Earth
2339,m,"geobiology, paleobiology, paleoclimate",professor,Earth
2340,m,geobiology,professor,Earth
2341,m,geophysics,professor,Earth
2342,m,geochemistry,professor,Earth
2343,f,geophysics,professor,Earth
2344,m,geophysics,professor,Earth
2345,m,geophysics,professor,Earth
2346,m,geology,professor,Earth
2347,m,geology,professor,Earth
2348,m,"climate dynamics, paleoclimate",professor,
2349,m,geophysics,professor,Earth
2350,m,"land surface processes, hydrology, climate dynamics",professor,
2351,m,"land surface processes, planetary science",assistant professor,Planet
2352,f,"geobiology, paleontology, geology",assistant professor,Earth
2353,f,"hydrology, ecology",assistant professor,
2354,f,"climate dynamics, hydrology",assistant professor,
2355,f,"hydrology, geomorphology",assistant professor,Earth
2356,m,geology,assistant professor,Earth
2357,m,geophysics,assistant professor,Earth
2358,m,geochemistry,associate professor,Earth
2359,m,"paleoclimate, geochemistry",associate professor,Earth
2360,f,"geology, geochemistry",associate professor,Earth
2361,m,geology,associate professor,Earth
2362,m,physical oceanography,associate professor,Ocean
2363,m,geophysics,associate professor,Earth
2364,m,geomorphology,associate professor,Earth
2365,m,geology,associate professor,Earth
2366,m,"paleoclimate, geochemistry",associate professor,Earth
2367,m,"geology, geophysics",associate professor,Earth
2368,m,"geochemistry, hydrology, geology",professor,Earth
2369,m,geophysics,professor,Earth
2370,m,geobiology,professor,Earth
2371,m,"geochemistry, hydrology, geology, geobiology",professor,Earth
2372,m,hydrology,professor,
2373,f,glaciology,professor,
